Date,Type,Description,Value,USD
2011-06-30,GDP Constant,PFCE,12.366,44.72
2011-06-30,GDP Constant,GFCE,2.042,44.72
2011-06-30,GDP Constant,GFCF,6.97,44.72
2011-06-30,GDP Constant,CIS,0.525,44.72
2011-06-30,GDP Constant,Valuables,0.599,44.72
2011-06-30,GDP Constant,Exports,5.069,44.72
2011-06-30,GDP Constant,Imports,-6.438,44.72
2011-06-30,GDP Constant,Discrepancies,-0.104,44.72
2011-06-30,GDP Constant,GDP,21.029,44.72
2011-06-30,GDP Current,PFCE,11.964,44.72
2011-06-30,GDP Current,GFCE,1.955,44.72
2011-06-30,GDP Current,GFCF,6.821,44.72
2011-06-30,GDP Current,CIS,0.518,44.72
2011-06-30,GDP Current,Valuables,0.553,44.72
2011-06-30,GDP Current,Exports,4.931,44.72
2011-06-30,GDP Current,Imports,-6.262,44.72
2011-06-30,GDP Current,Discrepancies ,-0.044,44.72
2011-06-30,GDP Current,GDP,20.435,44.72
2011-06-30,GVA Constant,Agriculture,3.361,44.72
2011-06-30,GVA Constant,Mining,0.679,44.72
2011-06-30,GVA Constant,Manufacturing,3.56,44.72
2011-06-30,GVA Constant,Electricity & Utilities,0.463,44.72
2011-06-30,GVA Constant,Construction,1.868,44.72
2011-06-30,GVA Constant,"Trade Hotal, Comm",3.387,44.72
2011-06-30,GVA Constant,Financial Services,4.045,44.72
2011-06-30,GVA Constant,Defense Etc,2.329,44.72
2011-06-30,GVA Constant,GVA,19.691,44.72
2011-06-30,GVA Constant,Net Taxes,1.337,44.72
2011-06-30,GVA Current,Agriculture,3.232,44.72
2011-06-30,GVA Current,Mining,0.647,44.72
2011-06-30,GVA Current,Manufacturing,3.509,44.72
2011-06-30,GVA Current,Electricity & Utilities,0.447,44.72
2011-06-30,GVA Current,Construction,1.822,44.72
2011-06-30,GVA Current,"Trade Hotal, Comm",3.301,44.72
2011-06-30,GVA Current,Financial Services,3.951,44.72
2011-06-30,GVA Current,Defense Etc,2.257,44.72
2011-06-30,GVA Current,GVA,19.165,44.72
2011-06-30,GVA Current,Net Taxes,1.27,44.72
2011-09-30,GDP Constant,PFCE,11.273,48.93
2011-09-30,GDP Constant,GFCE,2.571,48.93
2011-09-30,GDP Constant,GFCF,7.277,48.93
2011-09-30,GDP Constant,CIS,0.491,48.93
2011-09-30,GDP Constant,Valuables,0.654,48.93
2011-09-30,GDP Constant,Exports,5.072,48.93
2011-09-30,GDP Constant,Imports,-6.406,48.93
2011-09-30,GDP Constant,Discrepancies,-0.504,48.93
2011-09-30,GDP Constant,GDP,20.429,48.93
2011-09-30,GDP Current,PFCE,11.195,48.93
2011-09-30,GDP Current,GFCE,2.559,48.93
2011-09-30,GDP Current,GFCF,7.227,48.93
2011-09-30,GDP Current,CIS,0.487,48.93
2011-09-30,GDP Current,Valuables,0.653,48.93
2011-09-30,GDP Current,Exports,5.039,48.93
2011-09-30,GDP Current,Imports,-6.369,48.93
2011-09-30,GDP Current,Discrepancies ,-0.495,48.93
2011-09-30,GDP Current,GDP,20.295,48.93
2011-09-30,GVA Constant,Agriculture,2.691,48.93
2011-09-30,GVA Constant,Mining,0.57,48.93
2011-09-30,GVA Constant,Manufacturing,3.331,48.93
2011-09-30,GVA Constant,Electricity & Utilities,0.465,48.93
2011-09-30,GVA Constant,Construction,1.907,48.93
2011-09-30,GVA Constant,"Trade Hotal, Comm",3.405,48.93
2011-09-30,GVA Constant,Financial Services,4.106,48.93
2011-09-30,GVA Constant,Defense Etc,2.658,48.93
2011-09-30,GVA Constant,GVA,19.132,48.93
2011-09-30,GVA Constant,Net Taxes,1.297,48.93
2011-09-30,GVA Current,Agriculture,2.702,48.93
2011-09-30,GVA Current,Mining,0.555,48.93
2011-09-30,GVA Current,Manufacturing,3.299,48.93
2011-09-30,GVA Current,Electricity & Utilities,0.466,48.93
2011-09-30,GVA Current,Construction,1.891,48.93
2011-09-30,GVA Current,"Trade Hotal, Comm",3.376,48.93
2011-09-30,GVA Current,Financial Services,4.077,48.93
2011-09-30,GVA Current,Defense Etc,2.637,48.93
2011-09-30,GVA Current,GVA,19.003,48.93
2011-09-30,GVA Current,Net Taxes,1.292,48.93
2011-12-31,GDP Constant,PFCE,12.649,53.27
2011-12-31,GDP Constant,GFCE,2.204,53.27
2011-12-31,GDP Constant,GFCF,7.522,53.27
2011-12-31,GDP Constant,CIS,0.492,53.27
2011-12-31,GDP Constant,Valuables,0.605,53.27
2011-12-31,GDP Constant,Exports,5.535,53.27
2011-12-31,GDP Constant,Imports,-7.139,53.27
2011-12-31,GDP Constant,Discrepancies,0.383,53.27
2011-12-31,GDP Constant,GDP,22.251,53.27
2011-12-31,GDP Current,PFCE,12.814,53.27
2011-12-31,GDP Current,GFCE,2.234,53.27
2011-12-31,GDP Current,GFCF,7.569,53.27
2011-12-31,GDP Current,CIS,0.494,53.27
2011-12-31,GDP Current,Valuables,0.62,53.27
2011-12-31,GDP Current,Exports,5.58,53.27
2011-12-31,GDP Current,Imports,-7.198,53.27
2011-12-31,GDP Current,Discrepancies ,0.336,53.27
2011-12-31,GDP Current,GDP,22.449,53.27
2011-12-31,GVA Constant,Agriculture,5.01,53.27
2011-12-31,GVA Constant,Mining,0.648,53.27
2011-12-31,GVA Constant,Manufacturing,3.337,53.27
2011-12-31,GVA Constant,Electricity & Utilities,0.466,53.27
2011-12-31,GVA Constant,Construction,1.957,53.27
2011-12-31,GVA Constant,"Trade Hotal, Comm",3.49,53.27
2011-12-31,GVA Constant,Financial Services,3.403,53.27
2011-12-31,GVA Constant,Defense Etc,2.428,53.27
2011-12-31,GVA Constant,GVA,20.739,53.27
2011-12-31,GVA Constant,Net Taxes,1.512,53.27
2011-12-31,GVA Current,Agriculture,5.055,53.27
2011-12-31,GVA Current,Mining,0.658,53.27
2011-12-31,GVA Current,Manufacturing,3.347,53.27
2011-12-31,GVA Current,Electricity & Utilities,0.48,53.27
2011-12-31,GVA Current,Construction,1.971,53.27
2011-12-31,GVA Current,"Trade Hotal, Comm",3.516,53.27
2011-12-31,GVA Current,Financial Services,3.431,53.27
2011-12-31,GVA Current,Defense Etc,2.454,53.27
2011-12-31,GVA Current,GVA,20.912,53.27
2011-12-31,GVA Current,Net Taxes,1.537,53.27
2012-03-31,GDP Constant,PFCE,12.816,51.16
2012-03-31,GDP Constant,GFCE,2.867,51.16
2012-03-31,GDP Constant,GFCF,8.209,51.16
2012-03-31,GDP Constant,CIS,0.571,51.16
2012-03-31,GDP Constant,Valuables,0.672,51.16
2012-03-31,GDP Constant,Exports,5.764,51.16
2012-03-31,GDP Constant,Imports,-7.172,51.16
2012-03-31,GDP Constant,Discrepancies,-0.072,51.16
2012-03-31,GDP Constant,GDP,23.655,51.16
2012-03-31,GDP Current,PFCE,13.132,51.16
2012-03-31,GDP Current,GFCE,2.936,51.16
2012-03-31,GDP Current,GFCF,8.36,51.16
2012-03-31,GDP Current,CIS,0.582,51.16
2012-03-31,GDP Current,Valuables,0.704,51.16
2012-03-31,GDP Current,Exports,5.889,51.16
2012-03-31,GDP Current,Imports,-7.326,51.16
2012-03-31,GDP Current,Discrepancies ,-0.093,51.16
2012-03-31,GDP Current,GDP,24.185,51.16
2012-03-31,GVA Constant,Agriculture,3.958,51.16
2012-03-31,GVA Constant,Mining,0.713,51.16
2012-03-31,GVA Constant,Manufacturing,3.872,51.16
2012-03-31,GVA Constant,Electricity & Utilities,0.473,51.16
2012-03-31,GVA Constant,Construction,2.041,51.16
2012-03-31,GVA Constant,"Trade Hotal, Comm",3.85,51.16
2012-03-31,GVA Constant,Financial Services,3.754,51.16
2012-03-31,GVA Constant,Defense Etc,2.846,51.16
2012-03-31,GVA Constant,GVA,21.507,51.16
2012-03-31,GVA Constant,Net Taxes,2.147,51.16
2012-03-31,GVA Current,Agriculture,4.029,51.16
2012-03-31,GVA Current,Mining,0.751,51.16
2012-03-31,GVA Current,Manufacturing,3.945,51.16
2012-03-31,GVA Current,Electricity & Utilities,0.474,51.16
2012-03-31,GVA Current,Construction,2.089,51.16
2012-03-31,GVA Current,"Trade Hotal, Comm",3.938,51.16
2012-03-31,GVA Current,Financial Services,3.851,51.16
2012-03-31,GVA Current,Defense Etc,2.913,51.16
2012-03-31,GVA Current,GVA,21.99,51.16
2012-03-31,GVA Current,Net Taxes,2.195,51.16
2012-06-30,GDP Constant,PFCE,12.252,56.31
2012-06-30,GDP Constant,GFCE,2.288,56.31
2012-06-30,GDP Constant,GFCF,7.637,56.31
2012-06-30,GDP Constant,CIS,0.486,56.31
2012-06-30,GDP Constant,Valuables,0.698,56.31
2012-06-30,GDP Constant,Exports,5.328,56.31
2012-06-30,GDP Constant,Imports,-6.777,56.31
2012-06-30,GDP Constant,Discrepancies,0.142,56.31
2012-06-30,GDP Constant,GDP,22.052,56.31
2012-06-30,GDP Current,PFCE,12.883,56.31
2012-06-30,GDP Current,GFCE,2.407,56.31
2012-06-30,GDP Current,GFCF,7.957,56.31
2012-06-30,GDP Current,CIS,0.511,56.31
2012-06-30,GDP Current,Valuables,0.686,56.31
2012-06-30,GDP Current,Exports,5.557,56.31
2012-06-30,GDP Current,Imports,-7.159,56.31
2012-06-30,GDP Current,Discrepancies ,0.29,56.31
2012-06-30,GDP Current,GDP,23.132,56.31
2012-06-30,GVA Constant,Agriculture,3.412,56.31
2012-06-30,GVA Constant,Mining,0.708,56.31
2012-06-30,GVA Constant,Manufacturing,3.583,56.31
2012-06-30,GVA Constant,Electricity & Utilities,0.485,56.31
2012-06-30,GVA Constant,Construction,1.899,56.31
2012-06-30,GVA Constant,"Trade Hotal, Comm",3.741,56.31
2012-06-30,GVA Constant,Financial Services,4.425,56.31
2012-06-30,GVA Constant,Defense Etc,2.493,56.31
2012-06-30,GVA Constant,GVA,20.746,56.31
2012-06-30,GVA Constant,Net Taxes,1.306,56.31
2012-06-30,GVA Current,Agriculture,3.601,56.31
2012-06-30,GVA Current,Mining,0.758,56.31
2012-06-30,GVA Current,Manufacturing,3.746,56.31
2012-06-30,GVA Current,Electricity & Utilities,0.543,56.31
2012-06-30,GVA Current,Construction,2.032,56.31
2012-06-30,GVA Current,"Trade Hotal, Comm",3.943,56.31
2012-06-30,GVA Current,Financial Services,4.611,56.31
2012-06-30,GVA Current,Defense Etc,2.64,56.31
2012-06-30,GVA Current,GVA,21.874,56.31
2012-06-30,GVA Current,Net Taxes,1.258,56.31
2012-09-30,GDP Constant,PFCE,12.25,52.78
2012-09-30,GDP Constant,GFCE,2.862,52.78
2012-09-30,GDP Constant,GFCF,7.672,52.78
2012-09-30,GDP Constant,CIS,0.507,52.78
2012-09-30,GDP Constant,Valuables,0.646,52.78
2012-09-30,GDP Constant,Exports,6.523,52.78
2012-09-30,GDP Constant,Imports,-7.454,52.78
2012-09-30,GDP Constant,Discrepancies,-1.045,52.78
2012-09-30,GDP Constant,GDP,21.959,52.78
2012-09-30,GDP Current,PFCE,13.232,52.78
2012-09-30,GDP Current,GFCE,3.109,52.78
2012-09-30,GDP Current,GFCF,8.097,52.78
2012-09-30,GDP Current,CIS,0.54,52.78
2012-09-30,GDP Current,Valuables,0.675,52.78
2012-09-30,GDP Current,Exports,6.943,52.78
2012-09-30,GDP Current,Imports,-8.04,52.78
2012-09-30,GDP Current,Discrepancies ,-0.986,52.78
2012-09-30,GDP Current,GDP,23.57,52.78
2012-09-30,GVA Constant,Agriculture,2.744,52.78
2012-09-30,GVA Constant,Mining,0.556,52.78
2012-09-30,GVA Constant,Manufacturing,3.74,52.78
2012-09-30,GVA Constant,Electricity & Utilities,0.473,52.78
2012-09-30,GVA Constant,Construction,1.861,52.78
2012-09-30,GVA Constant,"Trade Hotal, Comm",3.769,52.78
2012-09-30,GVA Constant,Financial Services,4.528,52.78
2012-09-30,GVA Constant,Defense Etc,2.808,52.78
2012-09-30,GVA Constant,GVA,20.479,52.78
2012-09-30,GVA Constant,Net Taxes,1.48,52.78
2012-09-30,GVA Current,Agriculture,3.03,52.78
2012-09-30,GVA Current,Mining,0.599,52.78
2012-09-30,GVA Current,Manufacturing,3.959,52.78
2012-09-30,GVA Current,Electricity & Utilities,0.525,52.78
2012-09-30,GVA Current,Construction,2.026,52.78
2012-09-30,GVA Current,"Trade Hotal, Comm",4.038,52.78
2012-09-30,GVA Current,Financial Services,4.799,52.78
2012-09-30,GVA Current,Defense Etc,3.046,52.78
2012-09-30,GVA Current,GVA,22.022,52.78
2012-09-30,GVA Current,Net Taxes,1.547,52.78
2012-12-31,GDP Constant,PFCE,13.774,54.78
2012-12-31,GDP Constant,GFCE,1.896,54.78
2012-12-31,GDP Constant,GFCF,7.693,54.78
2012-12-31,GDP Constant,CIS,0.482,54.78
2012-12-31,GDP Constant,Valuables,0.602,54.78
2012-12-31,GDP Constant,Exports,5.286,54.78
2012-12-31,GDP Constant,Imports,-7.36,54.78
2012-12-31,GDP Constant,Discrepancies,1.074,54.78
2012-12-31,GDP Constant,GDP,23.448,54.78
2012-12-31,GDP Current,PFCE,15.082,54.78
2012-12-31,GDP Current,GFCE,2.097,54.78
2012-12-31,GDP Current,GFCF,8.154,54.78
2012-12-31,GDP Current,CIS,0.515,54.78
2012-12-31,GDP Current,Valuables,0.699,54.78
2012-12-31,GDP Current,Exports,5.66,54.78
2012-12-31,GDP Current,Imports,-7.988,54.78
2012-12-31,GDP Current,Discrepancies ,1.263,54.78
2012-12-31,GDP Current,GDP,25.484,54.78
2012-12-31,GVA Constant,Agriculture,5.06,54.78
2012-12-31,GVA Constant,Mining,0.649,54.78
2012-12-31,GVA Constant,Manufacturing,3.558,54.78
2012-12-31,GVA Constant,Electricity & Utilities,0.48,54.78
2012-12-31,GVA Constant,Construction,1.941,54.78
2012-12-31,GVA Constant,"Trade Hotal, Comm",3.832,54.78
2012-12-31,GVA Constant,Financial Services,3.78,54.78
2012-12-31,GVA Constant,Defense Etc,2.476,54.78
2012-12-31,GVA Constant,GVA,21.775,54.78
2012-12-31,GVA Constant,Net Taxes,1.672,54.78
2012-12-31,GVA Current,Agriculture,5.576,54.78
2012-12-31,GVA Current,Mining,0.704,54.78
2012-12-31,GVA Current,Manufacturing,3.778,54.78
2012-12-31,GVA Current,Electricity & Utilities,0.545,54.78
2012-12-31,GVA Current,Construction,2.12,54.78
2012-12-31,GVA Current,"Trade Hotal, Comm",4.126,54.78
2012-12-31,GVA Current,Financial Services,4.005,54.78
2012-12-31,GVA Current,Defense Etc,2.716,54.78
2012-12-31,GVA Current,GVA,23.569,54.78
2012-12-31,GVA Current,Net Taxes,1.915,54.78
2013-03-31,GDP Constant,PFCE,13.516,54.33
2013-03-31,GDP Constant,GFCE,2.696,54.33
2013-03-31,GDP Constant,GFCF,8.455,54.33
2013-03-31,GDP Constant,CIS,0.541,54.33
2013-03-31,GDP Constant,Valuables,0.654,54.33
2013-03-31,GDP Constant,Exports,5.762,54.33
2013-03-31,GDP Constant,Imports,-7.199,54.33
2013-03-31,GDP Constant,Discrepancies,0.246,54.33
2013-03-31,GDP Constant,GDP,24.671,54.33
2013-03-31,GDP Current,PFCE,14.948,54.33
2013-03-31,GDP Current,GFCE,3.011,54.33
2013-03-31,GDP Current,GFCF,9.041,54.33
2013-03-31,GDP Current,CIS,0.579,54.33
2013-03-31,GDP Current,Valuables,0.678,54.33
2013-03-31,GDP Current,Exports,6.237,54.33
2013-03-31,GDP Current,Imports,-7.898,54.33
2013-03-31,GDP Current,Discrepancies ,0.658,54.33
2013-03-31,GDP Current,GDP,27.255,54.33
2013-03-31,GVA Constant,Agriculture,4.027,54.33
2013-03-31,GVA Constant,Mining,0.714,54.33
2013-03-31,GVA Constant,Manufacturing,3.988,54.33
2013-03-31,GVA Constant,Electricity & Utilities,0.479,54.33
2013-03-31,GVA Constant,Construction,2.1,54.33
2013-03-31,GVA Constant,"Trade Hotal, Comm",4.169,54.33
2013-03-31,GVA Constant,Financial Services,4.067,54.33
2013-03-31,GVA Constant,Defense Etc,2.919,54.33
2013-03-31,GVA Constant,GVA,22.463,54.33
2013-03-31,GVA Constant,Net Taxes,2.208,54.33
2013-03-31,GVA Current,Agriculture,4.545,54.33
2013-03-31,GVA Current,Mining,0.797,54.33
2013-03-31,GVA Current,Manufacturing,4.245,54.33
2013-03-31,GVA Current,Electricity & Utilities,0.541,54.33
2013-03-31,GVA Current,Construction,2.316,54.33
2013-03-31,GVA Current,"Trade Hotal, Comm",4.532,54.33
2013-03-31,GVA Current,Financial Services,4.352,54.33
2013-03-31,GVA Current,Defense Etc,3.234,54.33
2013-03-31,GVA Current,GVA,24.562,54.33
2013-03-31,GVA Current,Net Taxes,2.693,54.33
2013-06-30,GDP Constant,PFCE,13.214,59.15
2013-06-30,GDP Constant,GFCE,2.722,59.15
2013-06-30,GDP Constant,GFCF,7.855,59.15
2013-06-30,GDP Constant,CIS,0.318,59.15
2013-06-30,GDP Constant,Valuables,0.371,59.15
2013-06-30,GDP Constant,Exports,5.503,59.15
2013-06-30,GDP Constant,Imports,-6.574,59.15
2013-06-30,GDP Constant,Discrepancies,0.064,59.15
2013-06-30,GDP Constant,GDP,23.474,59.15
2013-06-30,GDP Current,PFCE,14.802,59.15
2013-06-30,GDP Current,GFCE,3.085,59.15
2013-06-30,GDP Current,GFCF,8.479,59.15
2013-06-30,GDP Current,CIS,0.349,59.15
2013-06-30,GDP Current,Valuables,0.382,59.15
2013-06-30,GDP Current,Exports,6.162,59.15
2013-06-30,GDP Current,Imports,-7.684,59.15
2013-06-30,GDP Current,Discrepancies ,0.079,59.15
2013-06-30,GDP Current,GDP,25.654,59.15
2013-06-30,GVA Constant,Agriculture,3.544,59.15
2013-06-30,GVA Constant,Mining,0.681,59.15
2013-06-30,GVA Constant,Manufacturing,3.831,59.15
2013-06-30,GVA Constant,Electricity & Utilities,0.495,59.15
2013-06-30,GVA Constant,Construction,1.987,59.15
2013-06-30,GVA Constant,"Trade Hotal, Comm",3.888,59.15
2013-06-30,GVA Constant,Financial Services,4.949,59.15
2013-06-30,GVA Constant,Defense Etc,2.687,59.15
2013-06-30,GVA Constant,GVA,22.062,59.15
2013-06-30,GVA Constant,Net Taxes,1.412,59.15
2013-06-30,GVA Current,Agriculture,4.077,59.15
2013-06-30,GVA Current,Mining,0.706,59.15
2013-06-30,GVA Current,Manufacturing,4.131,59.15
2013-06-30,GVA Current,Electricity & Utilities,0.629,59.15
2013-06-30,GVA Current,Construction,2.218,59.15
2013-06-30,GVA Current,"Trade Hotal, Comm",4.275,59.15
2013-06-30,GVA Current,Financial Services,5.34,59.15
2013-06-30,GVA Current,Defense Etc,3.037,59.15
2013-06-30,GVA Current,GVA,24.414,59.15
2013-06-30,GVA Current,Net Taxes,1.24,59.15
2013-09-30,GDP Constant,PFCE,12.992,62.78
2013-09-30,GDP Constant,GFCE,2.795,62.78
2013-09-30,GDP Constant,GFCF,7.797,62.78
2013-09-30,GDP Constant,CIS,0.322,62.78
2013-09-30,GDP Constant,Valuables,0.377,62.78
2013-09-30,GDP Constant,Exports,6.451,62.78
2013-09-30,GDP Constant,Imports,-6.846,62.78
2013-09-30,GDP Constant,Discrepancies,-0.318,62.78
2013-09-30,GDP Constant,GDP,23.571,62.78
2013-09-30,GDP Current,PFCE,15.156,62.78
2013-09-30,GDP Current,GFCE,3.313,62.78
2013-09-30,GDP Current,GFCF,8.559,62.78
2013-09-30,GDP Current,CIS,0.358,62.78
2013-09-30,GDP Current,Valuables,0.407,62.78
2013-09-30,GDP Current,Exports,7.474,62.78
2013-09-30,GDP Current,Imports,-8.277,62.78
2013-09-30,GDP Current,Discrepancies ,-0.128,62.78
2013-09-30,GDP Current,GDP,26.862,62.78
2013-09-30,GVA Constant,Agriculture,2.894,62.78
2013-09-30,GVA Constant,Mining,0.557,62.78
2013-09-30,GVA Constant,Manufacturing,3.876,62.78
2013-09-30,GVA Constant,Electricity & Utilities,0.501,62.78
2013-09-30,GVA Constant,Construction,1.945,62.78
2013-09-30,GVA Constant,"Trade Hotal, Comm",4.019,62.78
2013-09-30,GVA Constant,Financial Services,5.242,62.78
2013-09-30,GVA Constant,Defense Etc,2.906,62.78
2013-09-30,GVA Constant,GVA,21.939,62.78
2013-09-30,GVA Constant,Net Taxes,1.632,62.78
2013-09-30,GVA Current,Agriculture,3.508,62.78
2013-09-30,GVA Current,Mining,0.631,62.78
2013-09-30,GVA Current,Manufacturing,4.244,62.78
2013-09-30,GVA Current,Electricity & Utilities,0.651,62.78
2013-09-30,GVA Current,Construction,2.244,62.78
2013-09-30,GVA Current,"Trade Hotal, Comm",4.569,62.78
2013-09-30,GVA Current,Financial Services,5.857,62.78
2013-09-30,GVA Current,Defense Etc,3.414,62.78
2013-09-30,GVA Current,GVA,25.119,62.78
2013-09-30,GVA Current,Net Taxes,1.744,62.78
2013-12-31,GDP Constant,PFCE,14.732,61.9
2013-12-31,GDP Constant,GFCE,1.954,61.9
2013-12-31,GDP Constant,GFCF,7.876,61.9
2013-12-31,GDP Constant,CIS,0.314,61.9
2013-12-31,GDP Constant,Valuables,0.324,61.9
2013-12-31,GDP Constant,Exports,6.138,61.9
2013-12-31,GDP Constant,Imports,-6.325,61.9
2013-12-31,GDP Constant,Discrepancies,-0.032,61.9
2013-12-31,GDP Constant,GDP,24.98,61.9
2013-12-31,GDP Current,PFCE,17.527,61.9
2013-12-31,GDP Current,GFCE,2.37,61.9
2013-12-31,GDP Current,GFCF,8.756,61.9
2013-12-31,GDP Current,CIS,0.351,61.9
2013-12-31,GDP Current,Valuables,0.355,61.9
2013-12-31,GDP Current,Exports,7.27,61.9
2013-12-31,GDP Current,Imports,-7.838,61.9
