Date,Type,Description,Value,USD
2016-06-30,GVA Current,Electricity & Utilities,0.884,67.62
2016-06-30,GVA Current,Construction,2.735,67.62
2016-06-30,GVA Current,"Trade Hotal, Comm",6.071,67.62
2016-06-30,GVA Current,Financial Services,7.83,67.62
2016-06-30,GVA Current,Defense Etc,4.171,67.62
2016-06-30,GVA Current,GVA,34.002,67.62
2016-06-30,GVA Current,Net Taxes,2.396,67.62
2016-09-30,GDP Constant,PFCE,16.585,66.66
2016-09-30,GDP Constant,GFCE,3.432,66.66
2016-09-30,GDP Constant,GFCF,9.139,66.66
2016-09-30,GDP Constant,CIS,0.304,66.66
2016-09-30,GDP Constant,Valuables,0.372,66.66
2016-09-30,GDP Constant,Exports,6.115,66.66
2016-09-30,GDP Constant,Imports,-6.562,66.66
2016-09-30,GDP Constant,Discrepancies,0.973,66.66
2016-09-30,GDP Constant,GDP,30.358,66.66
2016-09-30,GDP Current,PFCE,21.99,66.66
2016-09-30,GDP Current,GFCE,4.551,66.66
2016-09-30,GDP Current,GFCF,10.451,66.66
2016-09-30,GDP Current,CIS,0.341,66.66
2016-09-30,GDP Current,Valuables,0.445,66.66
2016-09-30,GDP Current,Exports,7.209,66.66
2016-09-30,GDP Current,Imports,-8.01,66.66
2016-09-30,GDP Current,Discrepancies ,0.563,66.66
2016-09-30,GDP Current,GDP,37.541,66.66
2016-09-30,GVA Constant,Agriculture,3.268,66.66
2016-09-30,GVA Constant,Mining,0.674,66.66
2016-09-30,GVA Constant,Manufacturing,5.09,66.66
2016-09-30,GVA Constant,Electricity & Utilities,0.624,66.66
2016-09-30,GVA Constant,Construction,2.228,66.66
2016-09-30,GVA Constant,"Trade Hotal, Comm",5.038,66.66
2016-09-30,GVA Constant,Financial Services,7.45,66.66
2016-09-30,GVA Constant,Defense Etc,3.548,66.66
2016-09-30,GVA Constant,GVA,27.92,66.66
2016-09-30,GVA Constant,Net Taxes,2.438,66.66
2016-09-30,GVA Current,Agriculture,4.856,66.66
2016-09-30,GVA Current,Mining,0.605,66.66
2016-09-30,GVA Current,Manufacturing,5.759,66.66
2016-09-30,GVA Current,Electricity & Utilities,0.892,66.66
2016-09-30,GVA Current,Construction,2.625,66.66
2016-09-30,GVA Current,"Trade Hotal, Comm",5.946,66.66
2016-09-30,GVA Current,Financial Services,8.741,66.66
2016-09-30,GVA Current,Defense Etc,4.841,66.66
2016-09-30,GVA Current,GVA,34.264,66.66
2016-09-30,GVA Current,Net Taxes,3.277,66.66
2016-12-31,GDP Constant,PFCE,18.166,67.95
2016-12-31,GDP Constant,GFCE,2.898,67.95
2016-12-31,GDP Constant,GFCF,9.332,67.95
2016-12-31,GDP Constant,CIS,0.291,67.95
2016-12-31,GDP Constant,Valuables,0.357,67.95
2016-12-31,GDP Constant,Exports,6.188,67.95
2016-12-31,GDP Constant,Imports,-6.796,67.95
2016-12-31,GDP Constant,Discrepancies,0.361,67.95
2016-12-31,GDP Constant,GDP,30.796,67.95
2016-12-31,GDP Current,PFCE,24.097,67.95
2016-12-31,GDP Current,GFCE,3.848,67.95
2016-12-31,GDP Current,GFCF,10.706,67.95
2016-12-31,GDP Current,CIS,0.328,67.95
2016-12-31,GDP Current,Valuables,0.432,67.95
2016-12-31,GDP Current,Exports,7.433,67.95
2016-12-31,GDP Current,Imports,-8.479,67.95
2016-12-31,GDP Current,Discrepancies ,0.384,67.95
2016-12-31,GDP Current,GDP,38.75,67.95
2016-12-31,GVA Constant,Agriculture,5.492,67.95
2016-12-31,GVA Constant,Mining,0.828,67.95
2016-12-31,GVA Constant,Manufacturing,4.876,67.95
2016-12-31,GVA Constant,Electricity & Utilities,0.609,67.95
2016-12-31,GVA Constant,Construction,2.324,67.95
2016-12-31,GVA Constant,"Trade Hotal, Comm",5.228,67.95
2016-12-31,GVA Constant,Financial Services,5.324,67.95
2016-12-31,GVA Constant,Defense Etc,3.677,67.95
2016-12-31,GVA Constant,GVA,28.356,67.95
2016-12-31,GVA Constant,Net Taxes,2.44,67.95
2016-12-31,GVA Current,Agriculture,8.013,67.95
2016-12-31,GVA Current,Mining,0.769,67.95
2016-12-31,GVA Current,Manufacturing,5.549,67.95
2016-12-31,GVA Current,Electricity & Utilities,0.888,67.95
2016-12-31,GVA Current,Construction,2.744,67.95
2016-12-31,GVA Current,"Trade Hotal, Comm",6.192,67.95
2016-12-31,GVA Current,Financial Services,6.191,67.95
2016-12-31,GVA Current,Defense Etc,5.034,67.95
2016-12-31,GVA Current,GVA,35.381,67.95
2016-12-31,GVA Current,Net Taxes,3.369,67.95
2017-03-31,GDP Constant,PFCE,18.016,64.84
2017-03-31,GDP Constant,GFCE,2.697,64.84
2017-03-31,GDP Constant,GFCF,9.869,64.84
2017-03-31,GDP Constant,CIS,0.326,64.84
2017-03-31,GDP Constant,Valuables,0.435,64.84
2017-03-31,GDP Constant,Exports,6.55,64.84
2017-03-31,GDP Constant,Imports,-6.583,64.84
2017-03-31,GDP Constant,Discrepancies,0.968,64.84
2017-03-31,GDP Constant,GDP,32.277,64.84
2017-03-31,GDP Current,PFCE,23.969,64.84
2017-03-31,GDP Current,GFCE,3.577,64.84
2017-03-31,GDP Current,GFCF,11.371,64.84
2017-03-31,GDP Current,CIS,0.371,64.84
2017-03-31,GDP Current,Valuables,0.411,64.84
2017-03-31,GDP Current,Exports,7.798,64.84
2017-03-31,GDP Current,Imports,-8.115,64.84
2017-03-31,GDP Current,Discrepancies ,1.846,64.84
2017-03-31,GDP Current,GDP,41.228,64.84
2017-03-31,GVA Constant,Agriculture,4.604,64.84
2017-03-31,GVA Constant,Mining,1.057,64.84
2017-03-31,GVA Constant,Manufacturing,5.462,64.84
2017-03-31,GVA Constant,Electricity & Utilities,0.608,64.84
2017-03-31,GVA Constant,Construction,2.266,64.84
2017-03-31,GVA Constant,"Trade Hotal, Comm",5.997,64.84
2017-03-31,GVA Constant,Financial Services,5.404,64.84
2017-03-31,GVA Constant,Defense Etc,3.621,64.84
2017-03-31,GVA Constant,GVA,29.02,64.84
2017-03-31,GVA Constant,Net Taxes,3.258,64.84
2017-03-31,GVA Current,Agriculture,6.587,64.84
2017-03-31,GVA Current,Mining,1.074,64.84
2017-03-31,GVA Current,Manufacturing,6.269,64.84
2017-03-31,GVA Current,Electricity & Utilities,0.892,64.84
2017-03-31,GVA Current,Construction,2.705,64.84
2017-03-31,GVA Current,"Trade Hotal, Comm",7.182,64.84
2017-03-31,GVA Current,Financial Services,6.353,64.84
2017-03-31,GVA Current,Defense Etc,4.942,64.84
2017-03-31,GVA Current,GVA,36.004,64.84
2017-03-31,GVA Current,Net Taxes,5.223,64.84
2017-06-30,GDP Constant,PFCE,17.632,64.74
2017-06-30,GDP Constant,GFCE,3.633,64.74
2017-06-30,GDP Constant,GFCF,9.637,64.74
2017-06-30,GDP Constant,CIS,0.478,64.74
2017-06-30,GDP Constant,Valuables,0.693,64.74
2017-06-30,GDP Constant,Exports,6.269,64.74
2017-06-30,GDP Constant,Imports,-7.638,64.74
2017-06-30,GDP Constant,Discrepancies,0.758,64.74
2017-06-30,GDP Constant,GDP,31.463,64.74
2017-06-30,GDP Current,PFCE,23.589,64.74
2017-06-30,GDP Current,GFCE,4.848,64.74
2017-06-30,GDP Current,GFCF,11.252,64.74
2017-06-30,GDP Current,CIS,0.545,64.74
2017-06-30,GDP Current,Valuables,0.814,64.74
2017-06-30,GDP Current,Exports,7.585,64.74
2017-06-30,GDP Current,Imports,-9.125,64.74
2017-06-30,GDP Current,Discrepancies ,0.582,64.74
2017-06-30,GDP Current,GDP,40.089,64.74
2017-06-30,GVA Constant,Agriculture,4.133,64.74
2017-06-30,GVA Constant,Mining,0.841,64.74
2017-06-30,GVA Constant,Manufacturing,5.12,64.74
2017-06-30,GVA Constant,Electricity & Utilities,0.692,64.74
2017-06-30,GVA Constant,Construction,2.354,64.74
2017-06-30,GVA Constant,"Trade Hotal, Comm",5.791,64.74
2017-06-30,GVA Constant,Financial Services,6.941,64.74
2017-06-30,GVA Constant,Defense Etc,3.509,64.74
2017-06-30,GVA Constant,GVA,29.381,64.74
2017-06-30,GVA Constant,Net Taxes,2.082,64.74
2017-06-30,GVA Current,Agriculture,6.207,64.74
2017-06-30,GVA Current,Mining,0.822,64.74
2017-06-30,GVA Current,Manufacturing,5.885,64.74
2017-06-30,GVA Current,Electricity & Utilities,1.07,64.74
2017-06-30,GVA Current,Construction,2.88,64.74
2017-06-30,GVA Current,"Trade Hotal, Comm",6.918,64.74
2017-06-30,GVA Current,Financial Services,8.442,64.74
2017-06-30,GVA Current,Defense Etc,4.851,64.74
2017-06-30,GVA Current,GVA,37.075,64.74
2017-06-30,GVA Current,Net Taxes,3.014,64.74
2017-09-30,GDP Constant,PFCE,17.39,65.36
2017-09-30,GDP Constant,GFCE,3.684,65.36
2017-09-30,GDP Constant,GFCF,9.725,65.36
2017-09-30,GDP Constant,CIS,0.517,65.36
2017-09-30,GDP Constant,Valuables,0.51,65.36
2017-09-30,GDP Constant,Exports,6.4,65.36
2017-09-30,GDP Constant,Imports,-7.256,65.36
2017-09-30,GDP Constant,Discrepancies,1.002,65.36
2017-09-30,GDP Constant,GDP,31.972,65.36
2017-09-30,GDP Current,PFCE,23.763,65.36
2017-09-30,GDP Current,GFCE,5.043,65.36
2017-09-30,GDP Current,GFCF,11.411,65.36
2017-09-30,GDP Current,CIS,0.591,65.36
2017-09-30,GDP Current,Valuables,0.588,65.36
2017-09-30,GDP Current,Exports,7.848,65.36
2017-09-30,GDP Current,Imports,-8.776,65.36
2017-09-30,GDP Current,Discrepancies ,1.105,65.36
2017-09-30,GDP Current,GDP,41.572,65.36
2017-09-30,GVA Constant,Agriculture,3.49,65.36
2017-09-30,GVA Constant,Mining,0.697,65.36
2017-09-30,GVA Constant,Manufacturing,5.534,65.36
2017-09-30,GVA Constant,Electricity & Utilities,0.694,65.36
2017-09-30,GVA Constant,Construction,2.266,65.36
2017-09-30,GVA Constant,"Trade Hotal, Comm",5.58,65.36
2017-09-30,GVA Constant,Financial Services,7.408,65.36
2017-09-30,GVA Constant,Defense Etc,3.798,65.36
2017-09-30,GVA Constant,GVA,29.467,65.36
2017-09-30,GVA Constant,Net Taxes,2.505,65.36
2017-09-30,GVA Current,Agriculture,5.512,65.36
2017-09-30,GVA Current,Mining,0.673,65.36
2017-09-30,GVA Current,Manufacturing,6.386,65.36
2017-09-30,GVA Current,Electricity & Utilities,1.075,65.36
2017-09-30,GVA Current,Construction,2.813,65.36
2017-09-30,GVA Current,"Trade Hotal, Comm",6.759,65.36
2017-09-30,GVA Current,Financial Services,9.149,65.36
2017-09-30,GVA Current,Defense Etc,5.372,65.36
2017-09-30,GVA Current,GVA,37.738,65.36
2017-09-30,GVA Current,Net Taxes,3.834,65.36
2017-12-31,GDP Constant,PFCE,18.92,63.67
2017-12-31,GDP Constant,GFCE,3.2,63.67
2017-12-31,GDP Constant,GFCF,10.196,63.67
2017-12-31,GDP Constant,CIS,0.502,63.67
2017-12-31,GDP Constant,Valuables,0.435,63.67
2017-12-31,GDP Constant,Exports,6.467,63.67
2017-12-31,GDP Constant,Imports,-7.753,63.67
2017-12-31,GDP Constant,Discrepancies,0.882,63.67
2017-12-31,GDP Constant,GDP,32.85,63.67
2017-12-31,GDP Current,PFCE,26.208,63.67
2017-12-31,GDP Current,GFCE,4.448,63.67
2017-12-31,GDP Current,GFCF,12.099,63.67
2017-12-31,GDP Current,CIS,0.579,63.67
2017-12-31,GDP Current,Valuables,0.545,63.67
2017-12-31,GDP Current,Exports,8.172,63.67
2017-12-31,GDP Current,Imports,-9.7,63.67
2017-12-31,GDP Current,Discrepancies ,1.042,63.67
2017-12-31,GDP Current,GDP,43.392,63.67
2017-12-31,GVA Constant,Agriculture,5.812,63.67
2017-12-31,GVA Constant,Mining,0.795,63.67
2017-12-31,GVA Constant,Manufacturing,5.375,63.67
2017-12-31,GVA Constant,Electricity & Utilities,0.666,63.67
2017-12-31,GVA Constant,Construction,2.44,63.67
2017-12-31,GVA Constant,"Trade Hotal, Comm",5.786,63.67
2017-12-31,GVA Constant,Financial Services,5.501,63.67
2017-12-31,GVA Constant,Defense Etc,3.952,63.67
2017-12-31,GVA Constant,GVA,30.328,63.67
2017-12-31,GVA Constant,Net Taxes,2.522,63.67
2017-12-31,GVA Current,Agriculture,9.149,63.67
2017-12-31,GVA Current,Mining,0.827,63.67
2017-12-31,GVA Current,Manufacturing,6.253,63.67
2017-12-31,GVA Current,Electricity & Utilities,1.04,63.67
2017-12-31,GVA Current,Construction,3.064,63.67
2017-12-31,GVA Current,"Trade Hotal, Comm",7.092,63.67
2017-12-31,GVA Current,Financial Services,6.825,63.67
2017-12-31,GVA Current,Defense Etc,5.665,63.67
2017-12-31,GVA Current,GVA,39.916,63.67
2017-12-31,GVA Current,Net Taxes,3.476,63.67
2018-03-31,GDP Constant,PFCE,19.365,65.02
2018-03-31,GDP Constant,GFCE,2.932,65.02
2018-03-31,GDP Constant,GFCF,11.272,65.02
2018-03-31,GDP Constant,CIS,0.567,65.02
2018-03-31,GDP Constant,Valuables,0.484,65.02
2018-03-31,GDP Constant,Exports,6.884,65.02
2018-03-31,GDP Constant,Imports,-8.135,65.02
2018-03-31,GDP Constant,Discrepancies,1.792,65.02
2018-03-31,GDP Constant,GDP,35.161,65.02
2018-03-31,GDP Current,PFCE,26.802,65.02
2018-03-31,GDP Current,GFCE,4.063,65.02
2018-03-31,GDP Current,GFCF,13.395,65.02
2018-03-31,GDP Current,CIS,0.661,65.02
2018-03-31,GDP Current,Valuables,0.47,65.02
2018-03-31,GDP Current,Exports,8.51,65.02
2018-03-31,GDP Current,Imports,-9.913,65.02
2018-03-31,GDP Current,Discrepancies ,1.859,65.02
2018-03-31,GDP Current,GDP,45.847,65.02
2018-03-31,GVA Constant,Agriculture,4.965,65.02
2018-03-31,GVA Constant,Mining,0.963,65.02
2018-03-31,GVA Constant,Manufacturing,6.065,65.02
2018-03-31,GVA Constant,Electricity & Utilities,0.676,65.02
2018-03-31,GVA Constant,Construction,2.583,65.02
2018-03-31,GVA Constant,"Trade Hotal, Comm",6.527,65.02
2018-03-31,GVA Constant,Financial Services,5.521,65.02
2018-03-31,GVA Constant,Defense Etc,3.866,65.02
2018-03-31,GVA Constant,GVA,31.166,65.02
2018-03-31,GVA Constant,Net Taxes,3.995,65.02
2018-03-31,GVA Current,Agriculture,7.43,65.02
2018-03-31,GVA Current,Mining,1.039,65.02
2018-03-31,GVA Current,Manufacturing,7.142,65.02
2018-03-31,GVA Current,Electricity & Utilities,1.072,65.02
2018-03-31,GVA Current,Construction,3.247,65.02
2018-03-31,GVA Current,"Trade Hotal, Comm",8.02,65.02
2018-03-31,GVA Current,Financial Services,6.857,65.02
2018-03-31,GVA Current,Defense Etc,5.521,65.02
2018-03-31,GVA Current,GVA,40.328,65.02
2018-03-31,GVA Current,Net Taxes,5.519,65.02
2018-06-30,GDP Constant,PFCE,18.823,68.58
2018-06-30,GDP Constant,GFCE,3.858,68.58
2018-06-30,GDP Constant,GFCF,10.888,68.58
2018-06-30,GDP Constant,CIS,0.637,68.58
2018-06-30,GDP Constant,Valuables,0.464,68.58
2018-06-30,GDP Constant,Exports,6.867,68.58
2018-06-30,GDP Constant,Imports,-8.023,68.58
2018-06-30,GDP Constant,Discrepancies,0.328,68.58
2018-06-30,GDP Constant,GDP,33.841,68.58
2018-06-30,GDP Current,PFCE,26.439,68.58
2018-06-30,GDP Current,GFCE,5.42,68.58
2018-06-30,GDP Current,GFCF,13.23,68.58
2018-06-30,GDP Current,CIS,0.764,68.58
2018-06-30,GDP Current,Valuables,0.536,68.58
2018-06-30,GDP Current,Exports,8.704,68.58
2018-06-30,GDP Current,Imports,-10.55,68.58
2018-06-30,GDP Current,Discrepancies ,1.112,68.58
2018-06-30,GDP Current,GDP,45.656,68.58
2018-06-30,GVA Constant,Agriculture,4.349,68.58
2018-06-30,GVA Constant,Mining,0.84,68.58
2018-06-30,GVA Constant,Manufacturing,5.644,68.58
2018-06-30,GVA Constant,Electricity & Utilities,0.745,68.58
2018-06-30,GVA Constant,Construction,2.509,68.58
2018-06-30,GVA Constant,"Trade Hotal, Comm",6.255,68.58
2018-06-30,GVA Constant,Financial Services,7.37,68.58
2018-06-30,GVA Constant,Defense Etc,3.779,68.58
2018-06-30,GVA Constant,GVA,31.491,68.58
2018-06-30,GVA Constant,Net Taxes,2.35,68.58
2018-06-30,GVA Current,Agriculture,6.835,68.58
2018-06-30,GVA Current,Mining,0.941,68.58
2018-06-30,GVA Current,Manufacturing,6.744,68.58
2018-06-30,GVA Current,Electricity & Utilities,1.124,68.58
2018-06-30,GVA Current,Construction,3.259,68.58
2018-06-30,GVA Current,"Trade Hotal, Comm",7.782,68.58
2018-06-30,GVA Current,Financial Services,9.498,68.58
2018-06-30,GVA Current,Defense Etc,5.523,68.58
2018-06-30,GVA Current,GVA,41.706,68.58
2018-06-30,GVA Current,Net Taxes,3.95,68.58
2018-09-30,GDP Constant,PFCE,18.965,69.05
2018-09-30,GDP Constant,GFCE,3.964,69.05
2018-09-30,GDP Constant,GFCF,10.836,69.05
2018-09-30,GDP Constant,CIS,0.657,69.05
2018-09-30,GDP Constant,Valuables,0.505,69.05
2018-09-30,GDP Constant,Exports,7.198,69.05
2018-09-30,GDP Constant,Imports,-8.545,69.05
2018-09-30,GDP Constant,Discrepancies,0.467,69.05
2018-09-30,GDP Constant,GDP,34.047,69.05
2018-09-30,GDP Current,PFCE,27.098,69.05
2018-09-30,GDP Current,GFCE,5.68,69.05
2018-09-30,GDP Current,GFCF,13.305,69.05
2018-09-30,GDP Current,CIS,0.796,69.05
2018-09-30,GDP Current,Valuables,0.598,69.05
2018-09-30,GDP Current,Exports,9.246,69.05
2018-09-30,GDP Current,Imports,-11.369,69.05
2018-09-30,GDP Current,Discrepancies ,1.178,69.05
2018-09-30,GDP Current,GDP,46.532,69.05
2018-09-30,GVA Constant,Agriculture,3.657,69.05
2018-09-30,GVA Constant,Mining,0.684,69.05
2018-09-30,GVA Constant,Manufacturing,5.822,69.05
2018-09-30,GVA Constant,Electricity & Utilities,0.761,69.05
2018-09-30,GVA Constant,Construction,2.387,69.05
2018-09-30,GVA Constant,"Trade Hotal, Comm",5.975,69.05
2018-09-30,GVA Constant,Financial Services,7.922,69.05
2018-09-30,GVA Constant,Defense Etc,4.078,69.05
2018-09-30,GVA Constant,GVA,31.288,69.05
2018-09-30,GVA Constant,Net Taxes,2.759,69.05
2018-09-30,GVA Current,Agriculture,5.896,69.05
2018-09-30,GVA Current,Mining,0.799,69.05
2018-09-30,GVA Current,Manufacturing,7.025,69.05
2018-09-30,GVA Current,Electricity & Utilities,1.171,69.05
2018-09-30,GVA Current,Construction,3.156,69.05
2018-09-30,GVA Current,"Trade Hotal, Comm",7.567,69.05
2018-09-30,GVA Current,Financial Services,10.396,69.05
2018-09-30,GVA Current,Defense Etc,6.072,69.05
2018-09-30,GVA Current,GVA,42.082,69.05
2018-09-30,GVA Current,Net Taxes,4.45,69.05
2018-12-31,GDP Constant,PFCE,20.421,69.05
2018-12-31,GDP Constant,GFCE,3.299,69.05
2018-12-31,GDP Constant,GFCF,11.365,69.05
2018-12-31,GDP Constant,CIS,0.636,69.05
2018-12-31,GDP Constant,Valuables,0.444,69.05
2018-12-31,GDP Constant,Exports,7.481,69.05
2018-12-31,GDP Constant,Imports,-8.682,69.05
2018-12-31,GDP Constant,Discrepancies,-0.035,69.05
2018-12-31,GDP Constant,GDP,34.93,69.05
2018-12-31,GDP Current,PFCE,29.301,69.05
2018-12-31,GDP Current,GFCE,4.75,69.05
2018-12-31,GDP Current,GFCF,14.076,69.05
2018-12-31,GDP Current,CIS,0.775,69.05
2018-12-31,GDP Current,Valuables,0.597,69.05
2018-12-31,GDP Current,Exports,9.832,69.05
2018-12-31,GDP Current,Imports,-11.858,69.05
2018-12-31,GDP Current,Discrepancies ,1.205,69.05
2018-12-31,GDP Current,GDP,48.677,69.05
2018-12-31,GVA Constant,Agriculture,5.921,69.05
2018-12-31,GVA Constant,Mining,0.803,69.05
2018-12-31,GVA Constant,Manufacturing,5.63,69.05
2018-12-31,GVA Constant,Electricity & Utilities,0.728,69.05
2018-12-31,GVA Constant,Construction,2.605,69.05
2018-12-31,GVA Constant,"Trade Hotal, Comm",6.203,69.05
2018-12-31,GVA Constant,Financial Services,5.88,69.05
2018-12-31,GVA Constant,Defense Etc,4.194,69.05
2018-12-31,GVA Constant,GVA,31.963,69.05
2018-12-31,GVA Constant,Net Taxes,2.966,69.05
2018-12-31,GVA Current,Agriculture,9.529,69.05
2018-12-31,GVA Current,Mining,0.954,69.05
2018-12-31,GVA Current,Manufacturing,6.833,69.05
2018-12-31,GVA Current,Electricity & Utilities,1.123,69.05
2018-12-31,GVA Current,Construction,3.466,69.05
2018-12-31,GVA Current,"Trade Hotal, Comm",7.908,69.05
2018-12-31,GVA Current,Financial Services,7.728,69.05
2018-12-31,GVA Current,Defense Etc,6.303,69.05
2018-12-31,GVA Current,GVA,43.843,69.05
2018-12-31,GVA Current,Net Taxes,4.834,69.05
2019-03-31,GDP Constant,PFCE,20.636,69.05
2019-03-31,GDP Constant,GFCE,3.169,69.05
2019-03-31,GDP Constant,GFCF,11.773,69.05
2019-03-31,GDP Constant,CIS,0.696,69.05
2019-03-31,GDP Constant,Valuables,0.504,69.05
2019-03-31,GDP Constant,Exports,7.687,69.05
2019-03-31,GDP Constant,Imports,-8.182,69.05
2019-03-31,GDP Constant,Discrepancies,0.932,69.05
